======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                         |  #  |  %   |
[2022-02-08 12:12:57,778] ERROR      Wanted to select ['DIA_C2G2_21_CLOSED', 'DIA_C2G2_21_MOUSEOVER'], but could not find it
[2022-02-08 12:12:58,781] DEBUG      Waiting for templates: ['DIA_C2G2_21_OPEN']
[2022-02-08 12:12:58,920] DEBUG      C2-G: Seal2: is closed - [91m closed[0m
[2022-02-08 12:12:59,352] DEBUG      C2-G: Seal2: failed 4 times, trying to kill trash now
[2022-02-08 12:12:59,352] DEBUG      Sealdance: Kill trash at location: sealdance
[2022-02-08 12:13:07,647] DEBUG      Traverse: [665]
[2022-02-08 12:13:11,144] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:13:15,145] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:13:15,164] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:13:15,165] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:13:15,687] DEBUG      C2-G: Seal2: trying to open (try #4)
[2022-02-08 12:13:15,805] ERROR      Wanted to select ['DIA_C2G2_21_CLOSED', 'DIA_C2G2_21_MOUSEOVER'], but could not find it
[2022-02-08 12:13:17,320] DEBUG      Waiting for templates: ['DIA_C2G2_21_OPEN']
[2022-02-08 12:13:17,457] DEBUG      C2-G: Seal2: is closed - [91m closed[0m
[2022-02-08 12:13:17,876] DEBUG      C2-G: Seal2: failed 5 times, trying to kill trash now
[2022-02-08 12:13:17,876] DEBUG      Sealdance: Kill trash at location: sealdance
[2022-02-08 12:13:26,716] DEBUG      Traverse: [665]
[2022-02-08 12:13:30,156] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:13:34,223] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:13:34,262] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:13:34,262] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:13:35,236] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 12:13:35,274] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 12:13:37,668] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

5) ========== [2022-02-08 12:24:43,620] DEBUG      Traverse: [610620]
[2022-02-08 12:24:14,601] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:15,920] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:16,944] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:17,941] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:18,936] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:19,959] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:20,941] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:21,951] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:22,957] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:23,967] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:24,984] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:26,016] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:27,027] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:28,043] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:29,075] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:24:30,135] DEBUG      No attack choreography available in hammerdin.py for this node pent_before_a - skipping to shorten run.
[2022-02-08 12:24:30,136] DEBUG      Traverse: [602]
[2022-02-08 12:24:33,553] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:24:37,760] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:24:37,783] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:24:37,783] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:24:38,286] INFO       A: Got enough pots, no need to go to town right now.
[2022-02-08 12:24:43,620] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 12:24:43,620] INFO       A: Checking Layout for Vizier
[2022-02-08 12:24:43,620] DEBUG      Traverse: [610620]
[2022-02-08 12:24:46,856] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:24:53,053] ERROR      Got stuck exit pather
[2022-02-08 12:24:53,423] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 12:24:53,442] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 12:24:55,901] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

6) ========== [2022-02-08 12:34:22,539] DEBUG      Traverse: [603]
[2022-02-08 12:33:57,631] DEBUG      Traverse: [600]
[2022-02-08 12:33:58,640] DEBUG      CS Trash: Calibrated at WAYPOINT
[2022-02-08 12:34:06,792] DEBUG      Traverse: [603]
[2022-02-08 12:34:10,047] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:34:12,472] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:34:12,489] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:34:12,490] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:34:13,032] DEBUG      Kill trash at location: rof_01
[2022-02-08 12:34:22,539] DEBUG      Traverse: [603]
[2022-02-08 12:34:25,953] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:34:27,994] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:34:28,013] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:34:28,014] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:34:28,533] DEBUG      CS Trash: Teleporting to CS ENTRANCE
[2022-02-08 12:34:28,533] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:29,431] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:30,238] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:31,105] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:31,905] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:32,723] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:33,557] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:34,415] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:35,226] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:36,056] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:36,889] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:37,707] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:38,491] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 12:34:39,760] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 12:34:39,786] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 12:34:42,171] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

7) ========== [2022-02-08 12:38:23,308] DEBUG      Traverse: [610620]
[2022-02-08 12:37:54,008] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:37:55,369] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:37:56,403] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:37:57,451] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:37:58,468] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:37:59,468] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:00,471] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:01,439] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:02,433] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:03,433] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:04,434] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:05,430] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:06,446] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:07,461] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:08,478] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:38:09,572] DEBUG      No attack choreography available in hammerdin.py for this node pent_before_a - skipping to shorten run.
[2022-02-08 12:38:09,573] DEBUG      Traverse: [602]
[2022-02-08 12:38:12,825] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:38:17,328] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:38:17,365] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:38:17,365] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:38:17,910] INFO       A: Got enough pots, no need to go to town right now.
[2022-02-08 12:38:23,307] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 12:38:23,308] INFO       A: Checking Layout for Vizier
[2022-02-08 12:38:23,308] DEBUG      Traverse: [610620]
[2022-02-08 12:38:26,533] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 12:38:32,653] ERROR      Got stuck exit pather
[2022-02-08 12:38:33,055] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 12:38:33,074] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 12:38:35,547] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

8) ========== [2022-02-08 12:48:50,174] DEBUG      Traverse: [685, 686]
[2022-02-08 12:48:48,736] DEBUG      CS Trash: clearing second hall-3
[2022-02-08 12:48:50,174] DEBUG      Traverse: [685, 686]
[2022-02-08 12:48:54,050] DEBUG      Pather: taking a random guess towards (361, -240)
[2022-02-08 12:48:55,896] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:48:55,915] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:48:55,915] DEBUG      Pather: taking a random guess towards (361, -240)
[2022-02-08 12:48:59,490] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 12:48:59,511] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 12:48:59,511] DEBUG      Pather: taking a random guess towards (361, -240)
[2022-02-08 12:49:00,038] INFO       CS Trash: Layout B: clearing third hall/3
[2022-02-08 12:49:00,038] DEBUG      Kill trash at location: entrance2_04
[2022-02-08 12:49:09,184] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 12:49:09,184] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:10,418] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:11,445] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:12,469] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:13,507] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:14,511] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:15,511] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:16,547] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:17,555] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:18,552] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:19,564] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:20,583] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:21,583] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:22,584] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:23,550] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 12:49:24,993] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 12:49:25,012] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 12:49:27,739] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

9) ========== [2022-02-08 13:21:56,270] DEBUG      Traverse: [603]
[2022-02-08 13:21:31,735] DEBUG      Traverse: [600]
[2022-02-08 13:21:32,734] DEBUG      CS Trash: Calibrated at WAYPOINT
[2022-02-08 13:21:40,997] DEBUG      Traverse: [603]
[2022-02-08 13:21:44,276] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:21:46,495] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 13:21:46,513] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 13:21:46,514] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:21:47,047] DEBUG      Kill trash at location: rof_01
[2022-02-08 13:21:56,270] DEBUG      Traverse: [603]
[2022-02-08 13:21:59,699] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:22:01,899] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 13:22:01,919] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 13:22:01,920] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 13:22:02,460] DEBUG      CS Trash: Teleporting to CS ENTRANCE
[2022-02-08 13:22:02,460] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:03,346] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:04,147] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:04,981] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:05,764] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:06,598] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:07,422] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:08,267] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:09,089] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:09,916] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:10,718] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:11,567] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:12,371] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 13:22:13,642] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 13:22:13,664] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 13:22:15,950] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

10) ========== [2022-02-08 13:26:19,180] DEBUG      Traverse: [610620]
[2022-02-08 13:25:49,412] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:50,765] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:51,775] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:52,781] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:53,798] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:54,834] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:55,850] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:56,910] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:57,962] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:25:58,986] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:26:00,054] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:26:01,055] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:26:02,088] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:26:03,128] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:26:04,140] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 13:26:05,235] DEBUG      No attack choreography available in hammerdin.py for this node pent_before_a - skipping to shorten run.
[2022-02-08 13:26:05,235] DEBUG      Traverse: [602]
[2022-02-08 13:26:08,616] DEBUG      Pather: taking a random guess towards (0, 150)
